	Adult obesity Value	Median household income Value
Columbia County,NY	-1.2437232777599456	0.5852628659374753
Dutchess County,NY	-1.3312712538524054	1.854001197349171
Delaware County,NY	-1.1342883076443708	-0.14882826963874635
Fluvanna County,VA	-0.3244695287891184	1.321271731703512
Fayette County,TX	-0.34635652281223334	0.1683962659264654
Shelby County,TX	0.7479931783435135	-0.9549141927576017
Falls County,TX	-0.1931475646504286	-0.977367617063351
Scurry County,TX	-0.5214524749971519	0.6968907440696166
El Paso County,TX	-0.959192355459451	-0.6106017182612548
Erath County,TX	0.04760936960383598	-0.4641350750141432
Randolph County,AL	0.4853492500661352	-0.8616645622778532
Russell County,AL	0.8355411544359733	-0.9698565071532427
St. Clair County,AL	0.46346225604302027	0.22760618553699988
Shelby County,AL	0.06949636362695094	1.7347023984577703
Sumter County,AL	1.8861168675454916	-1.7826544859364502
Bradford County,FL	1.3608290109907337	-0.6186721661433925
Comanche County,TX	0.003835381557606054	-0.7545113879219466
Clarke County,GA	-1.2874972658061754	-1.2973089370641337
Floyd County,VA	-0.9154183674132211	-0.3489913582006747
Marion County,SC	1.7985688914530318	-1.2337042191019403
Richland County,IL	-0.06182560051173883	-0.3457152357930742
Coryell County,TX	0.17893133374252573	-0.056297787980178274
Cherokee County,GA	-1.1999492897137156	1.8734182155210468
Chattooga County,GA	1.0106371066208943	-1.030185102707836
Dale County,AL	1.1419590707595841	-0.46205753397517707
Transylvania County,NC	-1.52825420006044	-0.25829870130734583
Swain County,NC	0.9449761245515482	-1.033541130540012
Surry County,NC	-0.45579149292780813	-0.7836768678920479
Union County,NC	-0.959192355459451	1.3311000989263133
Ritchie County,WV	0.6385582082279387	-0.10703773258569703
Gunnison County,CO	-3.279213721909635	0.09728043805416353
Raleigh County,WV	0.7698801723666285	-0.5954995930164626
Randolph County,WV	1.0106371066208943	-0.81939459267735
Jefferson County,CO	-2.710151877308646	1.8349837063001735
Summers County,WV	1.4702639811063072	-1.2198805806503579
Albany County,NY	-0.8278703913207612	1.0106793463780768
Starke County,IN	1.0325241006440093	-0.3182277697390609
Butler County,MO	1.2076200528289278	-0.9547543819084505
St. Joseph County,IN	-0.4776784869509219	-0.10663820546281894
Scott County,IN	-0.45579149292780813	-0.4853100125266825
Shelby County,IN	0.11327035167318086	0.5680032942291414
Spencer County,IN	-0.4995654809740381	0.5389976251081914
Buchanan County,MO	0.9012021365053194	-0.18310769678168734
Callaway County,MO	0.7261061843203985	0.13275844656573885
Lawrence County,MO	-0.12748658258108372	-0.624425356712837
Johnson County,MO	-0.34635652281223334	0.17790501145096418
Laclede County,MO	0.22270532178875566	-0.8651804009591804
Lafayette County,MO	-0.018051612465508907	0.032397233298760014
Sauk County,WI	-0.14937357660419867	0.2013972062761965
Sawyer County,WI	-0.565226463043383	-0.5610603550243703
Shawano County,WI	0.529123238112364	0.009464376445557053
Sheboygan County,WI	-0.7622094092514163	0.6082756282152539
Lubbock County,TX	-0.6308874451127267	-0.16009493450390877
Taylor County,WI	0.7042191902972849	0.07674474393822917
Warren County,NJ	-0.8497573853438762	1.883486299017575
Cumberland County,TN	-0.12748658258108372	-0.5500334064329347
